Municipi;2021
Badalona;12,3
Barcelona;8,3
Begues;6,6
Castelldefels;8,8
Cerdanyola del Valles;8,6
Cornella de Llobregat;10,1
Esplugues de Llobregat;8,6
Gava;9,9
Hospitalet de Llobregat;10,2
Montcada i Reixac;12,9
Montgat;9,5
Palleja;7,8
El Papiol;8,6
Sant Adria de Besos;16,1
Sant Boi de Llobregat;10,6
Sant Climent de Llobregat;7,9
Sant Feliu de Llobregat;7,9
Sant Joan Despi;8,2
Sant Just Desvern;6,5
Santa Coloma de Cervello;7,2
Santa Coloma de Gramenet;12,5
Torrelles de Llobregat;8,3
Viladecans;10,4
